Index,Length,MOSI,MISO
0,5,C0 DE 00 00 00,00 00 00 01 81
1,5,80 FE 00 00 00,00 00 00 01 81
2,5,00 D6 00 00 03,00 00 00 01 00
3,5,C0 FC 00 00 00,00 00 00 01 A1
4,8,C3 D4 00 0C 00 00 00 00,00 00 00 01 08 00 00 00
5,8,03 DE 00 0C 8F 80 00 00,00 00 00 01 00 00 00 00
6,5,C0 DE 0F 06 00,00 00 00 01 16
7,8,C3 FC 0F 80 00 00 00 00,00 00 00 01 D1 15 1B 00
8,5,00 DE 00 00 20,00 00 00 01 00
9,5,C0 DE 00 00 00,00 00 00 01 81
10,5,00 F6 00 00 02,00 00 00 01 00
11,5,C0 FE 00 00 00,00 00 00 01 A1
12,5,C0 DE 00 00 00,00 00 00 01 A1
13,5,80 FC 00 18 00,00 00 00 01 40
14,8,83 D4 00 1C 00 00 00 00,00 00 00 01 40 FF 00 04
16,5,80 FE 00 18 00,00 00 00 01 80
17,5,80 DC 00 18 00,00 00 00 01 80
18,5,00 F6 00 1C 20,00 00 00 01 00
19,5,80 FE 00 1C 00,00 00 00 01 90
20,8,C3 D6 00 18 00 00 00 00,00 00 00 01 90 0A 00 04
21,14,8D FE 00 26 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 0A 00 00 01 00
22,5,00 FE 00 1C 40,00 00 00 01 00
23,5,00 FE 00 00 30,00 00 00 01 00
24,5,C0 FC 00 00 00,00 00 00 01 81
25,5,00 F4 00 00 02,00 00 00 01 00
26,5,C0 DC 00 00 00,00 00 00 01 A1
27,5,C0 F6 00 18 00,00 00 00 01 00
28,5,00 FC 00 1C 60,00 00 00 01 00
29,5,80 F6 00 1C 00,00 00 00 01 40
30,8,83 FE 00 1C 00 00 00 00,00 00 00 01 40 FF 00 04
31,16,0F F6 00 36 C0 01 00 00 00 0C 00 00 01 44 00 00,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00
32,5,80 FE 00 1C 00,00 00 00 01 80
