Index,Stream,OpDirn,ByteSize,Locality,Reg_Addr,Reg_Name,Reg_Payload,Tag,CmdSize,CmdCode/ResponseCode,Cmd_Name/Response_Name,Cmd_Payload/Response_Payload
0,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
0,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
1,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
1,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
2,MOSI,WRITE,1,0,0x000,TPM_ACCESS,03,,,,,
2,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
3,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
3,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
4,MOSI,READ,4,0,0x00C,TPM_INT_VECTOR,00 00 00 00,,,,,
4,MISO,READ,4,0,0x00C,TPM_INT_VECTOR,08 00 00 00,,,,,
5,MOSI,WRITE,4,0,0x00C,TPM_INT_VECTOR,8F 80 00 00,,,,,
5,MISO,WRITE,4,0,0x00C,TPM_INT_VECTOR,00 00 00 00,,,,,
6,MOSI,READ,1,0,0xF06,RESERVED,00,,,,,
6,MISO,READ,1,0,0xF06,RESERVED,16,,,,,
7,MOSI,READ,4,0,0xF80,RESERVED,00 00 00 00,,,,,
7,MISO,READ,4,0,0xF80,RESERVED,D1 15 1B 00,,,,,
8,MOSI,WRITE,1,0,0x000,TPM_ACCESS,20,,,,,
8,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
9,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
9,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
10,MOSI,WRITE,1,0,0x000,TPM_ACCESS,02,,,,,
10,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
11,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
11,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
12,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
12,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
13,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
13,MISO,READ,1,0,0x018,TPM_STS,40,,,,,
14,MOSI,READ,4,0,0x01C,RESERVED,00 00 00 00,,,,,
14,MISO,READ,4,0,0x01C,RESERVED,40 FF 00 04,,,,,
16,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
16,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
17,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
17,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
18,MOSI,WRITE,1,0,0x01C,RESERVED,20,,,,,
18,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
19,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
19,MISO,READ,1,0,0x01C,RESERVED,90,,,,,
20,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
20,MISO,READ,4,0,0x018,TPM_STS,90 0A 00 04,,,,,
21,MOSI,READ,14,0,0x026,TPM_DATA_FIFO,00 00 00 00 00 00 00 00 00 00,,,,,
21,MISO,READ,14,0,0x026,TPM_DATA_FIFO,80 01 00 00 00 0A 00 00 01 00,0x8001,10,0x100,TPM_ERROR,
22,MOSI,WRITE,1,0,0x01C,RESERVED,40,,,,,
22,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
23,MOSI,WRITE,1,0,0x000,TPM_ACCESS,30,,,,,
23,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
24,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
24,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
25,MOSI,WRITE,1,0,0x000,TPM_ACCESS,02,,,,,
25,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
26,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
26,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
27,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
27,MISO,READ,1,0,0x018,TPM_STS,00,,,,,
28,MOSI,WRITE,1,0,0x01C,RESERVED,60,,,,,
28,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
29,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
29,MISO,READ,1,0,0x01C,RESERVED,40,,,,,
30,MOSI,READ,4,0,0x01C,RESERVED,00 00 00 00,,,,,
30,MISO,READ,4,0,0x01C,RESERVED,40 FF 00 04,,,,,
31,MOSI,WRITE,16,0,0x036,TPM_DATA_CSUM_ENABLE,C0 01 00 00 00 0C 00 00 01 44 00 00,,,,,
31,MISO,WRITE,16,0,0x036,TPM_DATA_CSUM_ENABLE,00 00 00 00 00 00 00 00 00 00 00 00,,,,,
32,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
32,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
33,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
33,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
34,MOSI,WRITE,1,0,0x018,TPM_STS,20,,,,,
34,MISO,WRITE,1,0,0x018,TPM_STS,00,,,,,
35,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
35,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
36,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
36,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
37,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
37,MISO,READ,1,0,0x01C,RESERVED,90,,,,,
38,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
38,MISO,READ,4,0,0x018,TPM_STS,90 0A 00 04,,,,,
39,MOSI,READ,14,0,0x034,TPM_DATA_CSUM_ENABLE,00 00 00 00 00 00 00 00 00 00,,,,,
39,MISO,READ,14,0,0x034,TPM_DATA_CSUM_ENABLE,80 01 00 00 00 0A 00 00 00 00,,,,,
40,MOSI,WRITE,1,0,0x01C,RESERVED,60,,,,,
40,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
41,MOSI,WRITE,1,0,0x000,TPM_ACCESS,30,,,,,
41,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
42,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
42,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
43,MOSI,WRITE,1,0,0x000,TPM_ACCESS,03,,,,,
43,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
44,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
44,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
45,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
45,MISO,READ,1,0,0x01C,RESERVED,00,,,,,
46,MOSI,WRITE,1,0,0x01C,RESERVED,40,,,,,
46,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
47,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
47,MISO,READ,1,0,0x01C,RESERVED,40,,,,,
48,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
48,MISO,READ,4,0,0x018,TPM_STS,40 FF 00 04,,,,,
50,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
50,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
51,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
51,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
52,MOSI,WRITE,1,0,0x018,TPM_STS,20,,,,,
