Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
0,18.938124s,18.938144s,5,C0 DE 00 00 00,00 00 00 01 81,1.5969 MHz,-
1,18.938150s,18.938170s,5,80 FE 00 00 00,00 00 00 01 81,1.6162 MHz,-
2,18.938176s,18.938195s,5,00 D6 00 00 03,00 00 00 01 00,1.6327 MHz,-
3,18.938201s,18.938221s,5,C0 FC 00 00 00,00 00 00 01 A1,1.6130 MHz,-
4,18.938226s,18.938261s,8,C3 D4 00 0C 00 00 00 00,00 00 00 01 08 00 00 00,1.6049 MHz,-
5,18.938267s,18.938301s,8,03 DE 00 0C 8F 80 00 00,00 00 00 01 00 00 00 00,1.6195 MHz,-
6,18.938307s,18.938327s,5,C0 DE 0F 06 00,00 00 00 01 16,1.6277 MHz,-
7,18.938332s,18.938367s,8,C3 FC 0F 80 00 00 00 00,00 00 00 01 D1 15 1B 00,1.6146 MHz,-
8,18.938372s,18.938392s,5,00 DE 00 00 20,00 00 00 01 00,1.6277 MHz,-
9,18.938400s,18.938420s,5,C0 DE 00 00 00,00 00 00 01 81,1.5921 MHz,-
10,18.938426s,18.938446s,5,00 F6 00 00 02,00 00 00 01 00,1.6162 MHz,-
11,18.938451s,18.938471s,5,C0 FE 00 00 00,00 00 00 01 A1,1.5937 MHz,-
12,18.938478s,18.938498s,5,C0 DE 00 00 00,00 00 00 01 A1,1.5842 MHz,-
13,18.938503s,18.938523s,5,80 FC 00 18 00,00 00 00 01 40,1.6049 MHz,-
14,18.938529s,18.938563s,8,83 D4 00 1C 00 00 00 00,00 00 00 01 40 FF 00 04,1.6344 MHz,-
15,18.938569s,18.938638s,15,0F FC 00 26 80 01 80 00 00 0F 80 00 01 E3 81,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00,1.6310 MHz,-
16,18.943644s,18.943664s,5,80 FE 00 18 00,00 00 00 01 80,1.6113 MHz,-
17,18.948670s,18.948689s,5,80 DC 00 18 00,00 00 00 01 80,1.6081 MHz,-
18,18.948695s,18.948715s,5,00 F6 00 1C 20,00 00 00 01 00,1.6081 MHz,-
19,18.953721s,18.953741s,5,80 FE 00 1C 00,00 00 00 01 90,1.6228 MHz,-
20,18.953747s,18.953782s,8,C3 D6 00 18 00 00 00 00,00 00 00 01 90 0A 00 04,1.6000 MHz,-
21,18.953787s,18.953852s,14,8D FE 00 26 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 0A 00 00 01 00,1.6178 MHz,-
22,18.953858s,18.953878s,5,00 FE 00 1C 40,00 00 00 01 00,1.5811 MHz,-
23,18.953883s,18.953903s,5,00 FE 00 00 30,00 00 00 01 00,1.6162 MHz,-
24,18.953909s,18.953929s,5,C0 FC 00 00 00,00 00 00 01 81,1.6277 MHz,-
25,18.953935s,18.953954s,5,00 F4 00 00 02,00 00 00 01 00,1.6344 MHz,-
26,18.953960s,18.953980s,5,C0 DC 00 00 00,00 00 00 01 A1,1.6261 MHz,-
27,18.953985s,18.954005s,5,C0 F6 00 18 00,00 00 00 01 00,1.6130 MHz,-
28,18.954011s,18.954031s,5,00 FC 00 1C 60,00 00 00 01 00,1.6017 MHz,-
29,18.959036s,18.959056s,5,80 F6 00 1C 00,00 00 00 01 40,1.6001 MHz,-
30,18.959062s,18.959096s,8,83 FE 00 1C 00 00 00 00,00 00 00 01 40 FF 00 04,1.6394 MHz,-
31,18.959102s,18.959175s,16,0F F6 00 36 C0 01 80 00 00 0C 00 00 01 44 00 00,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00,1.6294 MHz,-
32,18.964181s,18.964201s,5,80 FE 00 1C 00,00 00 00 01 80,1.5550 MHz,-
33,18.969207s,18.969227s,5,C0 D4 00 1C 00,00 00 00 01 80,1.5718 MHz,-
34,18.969233s,18.969253s,5,00 F4 00 18 20,00 00 00 01 00,1.5937 MHz,-
35,18.974258s,18.974278s,5,C0 DC 00 1C 00,00 00 00 01 80,1.5953 MHz,-
36,18.979284s,18.979304s,5,C0 FE 00 1C 00,00 00 00 01 80,1.6178 MHz,-
37,18.984310s,18.984330s,5,C0 FE 00 1C 00,00 00 00 01 90,1.6017 MHz,-
38,18.984335s,18.984370s,8,C3 DE 00 18 00 00 00 00,00 00 00 01 90 0A 00 04,1.6162 MHz,-
39,18.984376s,18.984441s,14,CD DE 00 34 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 0A 00 00 00 00,1.6097 MHz,-
40,18.984446s,18.984467s,5,00 FE 00 1C 60,00 00 00 01 00,1.5842 MHz,-
41,18.984472s,18.984492s,5,00 F6 00 00 30,00 00 00 01 00,1.6178 MHz,-
42,18.984498s,18.984518s,5,C0 FE 00 00 00,00 00 00 01 81,1.6228 MHz,-
