Index,MOSI Bytes,MISO Bytes
0,C0 DE 00 00 00,00 00 00 01 81
1,80 FE 00 00 00,00 00 00 01 81
2,00 D6 00 00 03,00 00 00 01 00
3,C0 FC 00 00 00,00 00 00 01 A1
4,C3 D4 00 0C 00 00 00 00,00 00 00 01 08 00 00 00
5,03 DE 00 0C 8F 80 00 00,00 00 00 01 00 00 00 00
6,C0 DE 0F 06 00,00 00 00 01 16
7,C3 FC 0F 80 00 00 00 00,00 00 00 01 D1 15 1B 00
8,00 DE 00 00 20,00 00 00 01 00
9,C0 DE 00 00 00,00 00 00 01 81
10,00 F6 00 00 02,00 00 00 01 00
11,C0 FE 00 00 00,00 00 00 01 A1
12,C0 DE 00 00 00,00 00 00 01 A1
13,80 FC 00 18 00,00 00 00 01 40
14,83 D4 00 1C 00 00 00 00,00 00 00 01 40 FF 00 04
15,0F FC 00 26 80 01 80 00 00 0F 80 00 01 E3 81,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00
16,80 FE 00 18 00,00 00 00 01 80
17,80 DC 00 18 00,00 00 00 01 80
18,00 F6 00 1C 20,00 00 00 01 00
19,80 FE 00 1C 00,00 00 00 01 90
20,C3 D6 00 18 00 00 00 00,00 00 00 01 90 0A 00 04
21,8D FE 00 26 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 0A 00 00 01 00
22,00 FE 00 1C 40,00 00 00 01 00
23,00 FE 00 00 30,00 00 00 01 00
24,C0 FC 00 00 00,00 00 00 01 81
25,00 F4 00 00 02,00 00 00 01 00
26,C0 DC 00 00 00,00 00 00 01 A1
27,C0 F6 00 18 00,00 00 00 01 00
28,00 FC 00 1C 60,00 00 00 01 00
29,80 F6 00 1C 00,00 00 00 01 40
30,83 FE 00 1C 00 00 00 00,00 00 00 01 40 FF 00 04
31,0F F6 00 36 C0 01 80 00 00 0C 00 00 01 44 00 00,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00
32,80 FE 00 1C 00,00 00 00 01 80
33,C0 D4 00 1C 00,00 00 00 01 80
34,00 F4 00 18 20,00 00 00 01 00
35,C0 DC 00 1C 00,00 00 00 01 80
36,C0 FE 00 1C 00,00 00 00 01 80
37,C0 FE 00 1C 00,00 00 00 01 90
38,C3 DE 00 18 00 00 00 00,00 00 00 01 90 0A 00 04
39,CD DE 00 34 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 0A 00 00 00 00
40,00 FE 00 1C 60,00 00 00 01 00
41,00 F6 00 00 30,00 00 00 01 00
42,C0 FE 00 00 00,00 00 00 01 81
43,00 F6 00 00 03,00 00 00 01 00
